agency,country,name,project,category,technical_innovation,innovation_x5,innovation_analysis,When?,still_active?,source
HSA,singapore,HSA-counterfeits,HSA trials bot to crack down on contraband products sold online,Market oversight,"Work is no longer manual, but done through RPA.This means that the „clicking through google“ to collect URLS is no longer manually done, but the classification is. It is progress, but not cutting-edge",3,transparent,2021,yes,"https://www.globalcompliancenews.com/2021/08/14/singapore-health-sciences-authority-trials-bot-to-crack-down-on-contraband-products-sold-online030821/#:~:text=The Singapore Health Sciences Authority,drugs, health products and cosmetics"
Swissmedic,switzerland,MediCrawl,MediCrawl: a crawler to find illegal products online,Market oversight,MediCrawl harnesses the Azure cloud to implement a crawler which collects URLs online and processes them with in-house developed Machine Learning Models.,5,transparent,2021,yes,
Swissmedic,switzerland,TRICIA,TRICIA: a risk assessment tool for product defects,Market oversight,TRIAGE of new incidents happening in Switzerland is done through a machine learning model which prioritizes cases. Colleagues at Swissmedic can modify the scores if they find them unfitting.,5,transparent,2022,yes,
HSA,singapore,Paperless lab,Paperless Automated Laboratories,Laboratories,"Around 80% of lab workflows have been digitalized, enabling seamless data flow across instruments and sites. The labs also implemented RPA to handle repetitive tasks that previously needed staff intervention",3,transparent,2021,unclear,"https://www.hsa.gov.sg/docs/default-source/default-document-library/asg.pdf#:~:text=DIGITALISATION IN THE LABORATORIES After,RPA) to replace some"
HSA,singapore,ASAR: AI-Powered Adverse Event Detection,ASAR: AI-Powered Adverse Event Detection,Pharmacovigilance,HSA partners (with its heathtech partner Synapxe) developed ASAI for medicines and vaccines. It is a pharmacovigilance system that leverages „big data“ from healthcare records.,3,obscure,,,"https://www.hsa.gov.sg/docs/default-source/about-us/health-products-regulation-group.pdf?sfvrsn=c14df06b_1#:~:text=COMPOSITION USING VaSER In December,ENHANCED SURVEILLANCE"
HSA,singapore,VaSER for Tobacco/Vaping Control,VaSER for Tobacco/Vaping Control. HSA’s Tobacco Regulation Branch rolled out the Vaping System for Enforcement and Registry (VaSER) to crack down on illegal e-cigarette products. VaSER digitizes the entire process of issuing Notices of Composition (violation notices) and collecting fines for tobacco-related offenses.,Internal operations,"Innovation here in unclear, it could just be an app for what I find online. Apps are great, but the degree of innovation is low",1,obscure,,,"https://www.hsa.gov.sg/docs/default-source/about-us/health-products-regulation-group.pdf?sfvrsn=c14df06b_1#:~:text=COMPOSITION USING VaSER In December,ENHANCED SURVEILLANCE"
ANVISA,brazil,AI for Drug Impurity Analysis,AI for Drug Impurity Analysis,Safety,"ANVISA has introduced an AI tool to accelerate impurity qualification in pharmaceuticals, improving accuracy, reusing prior data, and reducing delays in drug registration. Linked to the Qualified Impurities List, the system enhances transparency, applies automatically to ongoing cases, and reflects ANVISA’s commitment to efficient, safety-focused regulation.",3,obscure,2024,unclear,https://www.daniel-ip.com/en/client-alert/anvisa-innovates-with-artificial-intelligence-in-medication-analysis/#:~:text=This
ANVISA,brazil,ARRtemis,ARRtemis Virtual Assistant,Internal operations,"ARRtemis is an internal chatbot to help staff understand Regulatory Outcome Evaluation (ARR) concepts. The chatbot answers questions about ARR definitions, the ARR agenda, and procedures operating quickly and intuitively for employees. The idea is to improve internal capacity for evidence-based regulatory decisions",3,obscure,2022,unclear,"https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2022/anvisa-lanca-assistente-virtual-interna#:~:text=“A ARRtemis é um chatbot,,para a realização de Avaliações”"
ANVISA,brazil,EPINET,EPINET: AI Monitoring of Online Illegal Products,Market oversight,"ANVISA, deployed an AI tool (codenamed Epinet) to crawl e-commerce platforms for illegal health products. This pilot system scans online listings 24/7, flagging unregistered or falsified products (e.g. fake COVID-19 test kits, adulterated supplements) and enabling ANVISA to take them down. By proactively mapping suspect products and sellers, the AI has led to the removal of over 230,000 illicit online ads (about 60k were supplement-related). ANVISA credits this tech innovation with strengthening market surveillance and protecting consumers, as it shifts enforcement from reactive (complaint-based) to proactive web monitoring",4,understandable,2022,no,https://www.undp.org/sites/g/files/zskgke326/files/2025-06/anvisa_eng.pdf
Uppsala Monitoring Center,Sweden,VigiFlow,"VigiFlow is a web-based pharmacovigilance management system developed and maintained by the Uppsala Monitoring Centre (UMC), the WHO Collaborating Centre for International Drug Monitoring.",Pharmacovigilance,"It is designed for regulatory authorities, hospitals, and pharmaceutical companies to collect, process, and manage Individual Case Safety Reports (ICSRs) of suspected adverse drug reactions (ADRs) and adverse events.		These reports follow the International Council for Harmonisation (ICH) E2B standard, ensuring compatibility with global systems.",5,transparent,2001,yes,
FDA,United states,Elsa,"Elsa is a generative AI LLM tool deployed agency-wide in 2025 to assist FDA staff with tasks like summarizing adverse events, comparing product labels, and even auto-generating code for data analysis.",Internal operations,"Elsa operates in a secure cloud environment and does not train on industry-submitted data, helping reviewers, inspectos and other employees work more efficiently while safeguarding sensitive information.",4,understandable,2025,yes,"https://www.fda.gov/news-events/press-announcements/fda-launches-agency-wide-ai-tool-optimize-performance-american-people#:~:text=The agency is already using,priority inspection targets"
FDA,United states,Seafood import platform,This project focuses in using AI and machine learning to identify possible sources of contamination in human and animal foodstuff imports.,Imports,"Problem framing & labels: A supervised ML model is trained on years of historical shipment outcomes—e.g., refusals, field/label exams, and lab analysis results—to predict the likelihood a new import line is violative or needs additional scrutiny.",4,understandable,2019,unclear,https://ai-forum.com/news-item/ai-helps-detect-unsafe-food-imports-in-fda-trial/?utm_source=chatgpt.com
FDA,United states,InfoVIP,InfoVIP: An FDA CDER Office of Surveillance and Epidemiology tool incorporating natural language processing (NLP) and machine learning to help safety reviewers manage the huge volume of adverse event reports in FAERS,Pharmacovigilance,"InfoViP aggregates data from multiple sources: FAERS post-market reports, DailyMed drug labeling, and biomedical literature (e.g., PubMed abstracts). It was prototyped as a web application using a modern stack (JavaScript + Python), containerized with Docker, and backed by a MySQL database (designed to be portable to Oracle for production)",5,transparent,2022,yes,"https://www.fda.gov/drugs/cder-conversations/information-visualization-platform-infovip-cders-new-artificial-intelligence-safety-surveillance#:~:text=The FDA’s Center for Drug,to support postmarket safety surveillance"
FDA,United states,ASSIST4TOBACCO,ASSIST4Tobacco is a novel tool that will use semantic indexing to search tobacco authorization applications. The system will be based on an AI (artificial intelligence)‐based NLP (Natural Language Processing) model which provides deeper search capabilities using a language model developed to represent relationships between words and concepts within a body of text.,Tobacco,"ASSIST4Tobacco is designed to enhance the searchability of tobacco authorization applications by implementing semantic indexing rather than simple keyword matching. It uses an AI-based natural language processing (NLP) model to represent the relationships between words and concepts within large bodies of text, enabling deeper, context-aware search capabilities within regulatory documents. No further technical description is available",4,understandable,unclear,unclear,"https://www.hhs.gov/sites/default/files/hhs-ai-use-cases-inventory.pdf#:~:text=for Tobacco Applications ,based Deduplication"
FDA,United states,SafeAI Initiative,SafetAI Initiative : To develop AI models for toxicological endpoints that inform the safety review of drug candidates before entering clinical trials.,Toxicology,"They are developing a novel deep learning framework which is designed to optimize toxicity prediction for individual chemicals based on their chemical characteristics. The method was compared to several conventional machine learning and state-of-the-art deep learning methods for predicting drug-induced liver injury (e.g., DeepDILI), carcinogenicity (e.g., DeepCarc), and Ames mutagenicity (e.g., DeepAmes). The preliminary results from this method yielded significant improvement in these toxicity endpoints in comparison to other deep learning and QSAR methods. ",5,transparent,2020,yes,"https://www.fda.gov/about-fda/nctr-research-focus-areas/safetai-initiative#:~:text=before the sponsor can initiate,carcinogenicity, mutagenicity, nephrotoxicity, and cardiotoxicity"
FDA,United states,TranslAI,"TranslAI : To develop generative AI (GenAI) models that support translational research by facilitating the translation of experimental findings across domains, such as organ systems, in vitro-to-in vivo extrapolation (IVIVE), and genomic technologies.",Research,"We are investigating GenAI architectures including both GANs and diffusion models in the TranslAI initiative. A pilot study using a GAN method led to a model—“TransTox”—which facilitates bidirectional translation of transcriptomic profiles between the liver and kidney under drug treatment. TransTox has demonstrated robust performance validated across independent datasets and laboratories in the following ways:  1) the concordance between real experimental data and synthetic data generated by TransTox was demonstrated in characterizing toxicity mechanisms compared to real experimental settings and 2) TransTox proved valuable in gene expression predictive models where synthetic data could be used to develop gene expression predictive models or serve as ""digital twins"" for diagnostic applications. The TransTox approach holds potential for multi-organ toxicity assessment with AI and advancing the field of precision toxicology.",5,transparent,2023,yes,"https://www.fda.gov/about-fda/nctr-research-focus-areas/translai-initiative#:~:text=Objective: To develop generative AI,IVIVE), and genomic technologies"
MoH,Israel,Regulatory Sandbox,Regulatory Sandbox,Market Approval,"The Ministry of Health and the Israel Innovation Authority are exploring the establishment of a regulatory sandbox for artificial intelligence (AI). This initiative aims to create a supervised testing environment for innovative AI technologies designed to improve the quality of care, reduce wait times, and enhance access to healthcare in Israel. ",5,transparent,2025,yes,https://www.gov.il/en/pages/ai-health-info
sFDA,Saudi Arabia,Saudi Arabia,"Saudi Arabia – Saudi Food & Drug Authority: AI Drug Safety Oversight System – AI application: pharmacovigilance and supply-chain monitoring. In 2023, the SFDA launched a groundbreaking AI-driven mechanism to actively reduce pharmaceutical risks – making Saudi Arabia the first country globally to employ AI for drug safety supervision",Pharmacovigilance,Saudi Arabia developed a platform but the details are lacking online.,3,obscure,2025,unclear,https://dharab.com/saudi-arabia-first-country-to-use-ai-for-drug-safety-oversight/
Swissmedic,switzerland,LiSA,"LiSA (Assisted Literature Search Pipeline for ADRs). AI/deep-learning literature search that flags serious adverse drug reaction (ADR) signals from biomedical publications, ranks relevance, and learns from reviewer feedback (causality & seriousness assessments).",Clinical Trials,Heavily cloud based application designed to run on the cloud. Pipeline is generalizable and shareable with different regulators. ,5,transparent,2020,no,https://www.sciencedirect.com/science/article/pii/S0273230023000569
FDA,United states,WILEE,"WILEE (Warp Intelligent Learning Engine). AI-driven, risk-based decision support that integrates diverse data sources for horizon scanning, post-market surveillance, signal detection, and knowledge discovery in food safety.",Safety,There are some details available online from a symposium in 2023 at FDA. Otherwise the technical details seem to be lacking online. ,4,understandable,2023,unclear,https://www.sciencedirect.com/science/article/pii/S0273230023000569
EMA,belgium,Scientific Explorer,"Scientific Explorer. In 2024 EMA launched Scientific Explorer, an AI-enabled search tool that lets EU regulators quickly mine and cross-search scientific and regulatory documents. It provides focused, precise querying across the EMA network’s data sources to support decision-making and streamline review processes.",Internal operations,Unclear how it works,5,transparent,2024,yes,
MHRA,United kingdom,Medicines Website Checking Tool,"“Medicines Website Checking Tool” – This is a Public reporting platform with AI-backed enforcement. Announced in 2024, this new MHRA tool will let the public report websites or social media pages suspected of selling fake or illegal medicines/devices",Market oversight,Unclear how it works,3,obscure,2024,yes,"https://pharmaceutical-journal.com/article/news/mhra-announces-development-of-tool-for-public-to-report-websites-selling-fake-medicines#:~:text=The Medicines and Healthcare products,public from fraudulent medical products"
ANSM,France,Automated ADR Coding,Automated Adverse Event Report Coding – Natural language processing for pharmacovigilance case intake. The French medicines agency ANSM deployed an AI system in early 2021 to automatically process patient adverse drug reaction (ADR) reports and assist pharmacovigilance teams,Pharmacovigilance,Does not seem to be more than a research project. No clear production implementation.,3,obscure,2021,no,
Federal Institute for Drugs and Medical Devices (BfArM),Germany,NLP in incidents reports,"NLP signal detection in incident reports. Description: BfArM, Germany’s drug and device regulator, is applying AI to bolster its medical device post-market surveillance. One initiative focuses on analyzing free-text descriptions in device incident reports from users or healthcare providers. By using natural language processing to identify key “trigger” words in these narratives, the system can flag reports suggestive of serious device malfunctions or adverse events",Safety,Unclear how it works,3,obscure,,unclear,
